         481573117 function calls (477158168 primitive calls) in 1291.467 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   277937  419.452    0.002  419.452    0.002 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:144(<listcomp>)
   277937  275.322    0.001  275.322    0.001 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:145(<listcomp>)
        2  263.629  131.814  265.506  132.753 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\crossover\crossover.py:25(chros_crossover)
416825006   91.268    0.000   91.268    0.000 {method 'index' of 'list' objects}
       20   80.003    4.000  148.311    7.416 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\initialSolution\initialSolution.py:31(gen_rhs)
       80   51.938    0.649  780.928    9.762 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:104(makespan_timeCalculation)
        2   27.533   13.766   27.533   13.766 {method 'read' of '_ssl._SSLSocket' objects}
        3   12.479    4.160   12.479    4.160 {built-in method input}
     3730    5.640    0.002    5.640    0.002 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:86(<listcomp>)
    29301    5.081    0.000    5.081    0.000 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:135(<listcomp>)
     3249    5.069    0.002    5.069    0.002 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:126(<listcomp>)
      221    3.613    0.016    3.631    0.016 {built-in method print}
     3730    3.611    0.001    3.611    0.001 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:88(<listcomp>)
   411877    2.675    0.000    2.676    0.000 {method 'choice' of 'mtrand.RandomState' objects}
1942966/297046    2.522    0.000   30.162    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2677(__setattr__)
  1019538    1.809    0.000    3.579    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2514(__getitem__)
1019538/233070    1.662    0.000   28.388    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2611(__setitem__)
   128042    1.594    0.000    2.177    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:333(__init__)
        2    1.561    0.781    1.561    0.781 {method 'write' of '_ssl._SSLSocket' objects}
1598407/105192    1.511    0.000    3.166    0.000 C:\Python34\lib\copy.py:137(deepcopy)
     9185    1.436    0.000    1.436    0.000 {built-in method __new__ of type object at 0x00000000715B4300}
   923515    1.384    0.000    3.556    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2869(_set_prop)
7215457/7215456    1.298    0.000    1.452    0.000 {built-in method isinstance}
     1139    1.264    0.001    1.302    0.001 <frozen importlib._bootstrap>:1621(get_data)
        2    1.117    0.559    3.880    1.940 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\mutation\mutation.py:36(chros_mutation)
  3506458    1.100    0.000    1.484    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2292(_props)
  1019606    0.970    0.000    0.970    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:162(__init__)
  1568766    0.883    0.000    5.087    0.000 {built-in method hasattr}
